 0.503	23.002	 1.273	-0.012	 9.517	1
 0.581	23.574	 0.974	-0.025	 9.169	1
 0.495	22.960	-0.729	-0.100	11.580	1
 0.346	22.398	-1.155	-0.041	10.821	1
 0.678	24.078	 0.619	-0.039	 8.647	1
 0.611	23.285	-1.162	-0.095	 9.715	1
 0.866	24.354	 0.376	-0.063	 8.530	1
 0.331	21.861	 0.650	-0.018	10.391	1
 0.799	24.510	-1.057	-0.056	10.651	1
 0.450	22.667	 0.810	-0.086	10.695	1
 0.371	22.273	 0.570	-0.054	10.198	1
 0.292	21.961	 0.761	 0.116	10.211	1
 0.356	22.927	 0.056	 0.205	10.831	1
 0.461	22.575	 1.862	-0.043	 9.339	1
 0.284	21.257	 0.937	-0.085	10.628	1
 0.632	23.739	 0.209	-0.051	 8.751	1
 0.466	23.790	 0.377	 0.122	 9.464	1
 0.269	21.058	 1.151	-0.080	 6.000	1
 0.947	24.460	-0.096	 0.057	11.008	1
 0.925	24.706	 0.863	-0.058	 9.705	1
 0.693	24.032	-1.764	-0.077	10.389	1
 0.625	23.387	 1.128	-0.043	 9.414	1
 0.897	24.333	 1.454	-0.084	 9.879	1
 0.608	23.245	 1.138	-0.098	 5.294	1
 0.789	24.222	 0.784	-0.043	10.005	1
 0.578	23.324	 0.509	-0.036	 7.638	1
 0.590	23.431	 1.001	 0.012	10.162	1
 0.720	23.899	 0.391	-0.034	 6.000	1
 0.210	21.057	-1.236	-0.003	10.635	1
 0.767	24.132	 0.906	-0.119	 9.640	1
 0.859	24.246	 0.728	 0.047	 8.730	1
 0.368	22.157	 0.789	-0.092	 8.199	1
 0.559	23.700	 0.285	 0.112	 9.645	1
 0.849	24.295	 1.151	-0.054	 8.086	1
 0.996	24.618	 1.273	-0.131	 9.034	1
 0.777	24.398	 0.135	 0.099	10.380	1
 0.583	23.273	 0.265	-0.105	11.338	1
 0.584	23.336	 0.218	-0.063	 9.929	1
 0.797	24.129	 0.699	 0.094	 7.966	1
 0.589	23.396	-0.067	-0.069	 9.170	1
 0.913	24.344	-0.044	-0.161	 9.397	1
 0.769	24.546	-0.334	 0.085	10.418	1
 0.948	24.677	 0.183	 0.041	10.215	1
 0.514	23.573	 0.986	 0.103	 9.808	1
 0.734	23.985	-1.345	-0.117	11.382	1
 0.638	24.012	-1.611	 0.107	 9.314	1
 0.766	24.244	 0.181	 0.012	10.496	1
 0.435	22.556	 0.828	-0.057	 9.888	1
 0.983	24.760	 0.595	-0.099	 9.769	1
 0.584	23.564	-0.443	-0.066	10.623	1
 0.701	23.858	 0.137	-0.012	10.638	1
